,Cameo Trainer,Card name,Set,#,TCGPlayer Link,Notes
KANTO,Red,Red's Pikachu,SM-P Promos,270,,
,,Pikachu,Cosmic Eclipse,241,,
,,Pikachu V,Lost Origin,TG16,,
,,Pikachu VMAX,Lost Origin,TG17,,
,Blue,Flareon,Brilliant Stars,TG01,,
,,Vaporeon,Brilliant Stars,TG02,,
,,Jolteon,Brilliant Stars,TG04,,
,Brock,Blaine's Quiz #3,Gym Challenge,112,,
,,Brock's Mudkip,ADV-P Promos,38,,
,,Croagunk M,Movie Commemoration Random Pack,13,,
,,Gym Badge,XY Promos,203,,
,Misty,Misty's Tentacool,Gym Heroes,57,,
,,Sabrina's Psychic Control,Gym Challenge,121,,
,,Lapras,BREAKpoint,28,,
,,Gym Badge,XY Promos,204,,
,,Lapras,Unified Minds,36,,
,,Starmie V,Astral Radiance,TG13,,
,,Misty's Psyduck,Destined Rivals,193,,
,,Misty's Lapras,Destined Rivals,194,,
,,Copycat,HeartGold & SoulSilver,90,,costume
,,,Call of Legends,77,,
,Lt. Surge,Secret Mission,Gym Heroes,118,,
,,Gym Badge,XY Promos,205,,
,,Magnemite,Cosmic Eclipse,242,,
,Erika,Charity,Gym Heroes,99,,
,,Good Manners,Gym Heroes,111,,
,,Gym Badge,XY Promos,206,,
,,Vileplume-GX,Cosmic Eclipse,4,,
,,Vileplume-GX,Cosmic Eclipse,211,,
,,,Cosmic Eclipse,250,,
,,Erika's Tangela,Ascended Heroes,218,,
,Koga,Gym Badge,XY Promos,207,,
,Janine,Tentacool,Unbroken Bonds,40,,
,,Ariados,Brilliant Stars,TG09,,
,Sabrina,Gym Badge,XY Promos,208,,
,Blaine,Fervor,Gym Challenge,124,,
,,Gym Badge,XY Promos,209,,
,,Copycat,Expedition,138,,costume
,,,Team Rocket Returns,83,,
,,,Dragon Frontiers,73,,
,,,Celestial Storm,127,,
,,Copycat,Celestial Storm,163,,
,Giovanni,The Boss's Way,Team Rocket,73,,
,,,Legendary Collection,105,,
