csv_row,ndex,cameo,card,set,num,notes
109,13,Weedle,Scoop Up,Next Quest,4,
111,13,Weedle,Koko,Koko Illustration Contest,Parent-Child,Jumbo
118,14,Kakuna,Pikachu,XY-P Promos,-,
121,15,Beedrill,Mew,XY-P Promos,-,
133,16,Pidgey,Pikachu,Collection 151,170,this card was only released in Simplified Chinese
153,23,Ekans,Pikachu,Collection 151,172,this card was only released in Simplified Chinese
158,25,Pikachu,No.1 Trainer,Official Tournament Promo,-,
159,25,Pikachu,No.2 Trainer,Official Tournament Promo,-,
160,25,Pikachu,No.3 Trainer,Official Tournament Promo,-,
161,25,Pikachu,Pokémon Illustrator,Miscellaneous Promos,-,
166,25,Pikachu,Machop,Expansion Sheet 2,-,
168,25,Pikachu,No.1 Trainer,Battle Road Promo,-,"has prints in Neo and e-Card layouts, with both girl and boy trainers"
169,25,Pikachu,No.2 Trainer,Battle Road Promo,-,
170,25,Pikachu,No.3 Trainer,Battle Road Promo,-,
171,25,Pikachu,Lucky Stadium,Hokkaidō World Challenge Promo,-,
178,25,Pikachu,Victory Medal,Battle Road Autumn Promo,-,
183,25,Pikachu,No.4 Trainer,World Championship Promo,-,regular print in BW layout
188,25,Pikachu,Arceus,2009 Card Design Contest,3rd Grade,
196,25,Pikachu,Illusion's Zorua,2010 Card Design Contest,Kindergarten,
197,25,Pikachu,Illusion's Zorua,2010 Card Design Contest,1st Grade,
198,25,Pikachu,Illusion's Zorua,2010 Card Design Contest,Pokémon Fan,
202,25,Pikachu,Tepig,BW-P Promos,-,Jumbo
203,25,Pikachu,Oshawott,BW-P Promos,-,Jumbo
205,25,Pikachu,Mewtwo,BW-P Promos,-,Jumbo
207,25,Pikachu,Victory Ring,XY-P Promos,3rd,
210,25,Pikachu,No.2 Trainer,World Championship Promo,-,has full art prints in XY and SM layouts
211,25,Pikachu,No.3 Trainer,World Championship Promo,-,
212,25,Pikachu,No.4 Trainer,World Championship Promo,-,
220,25,Pikachu,Victory Decoration,SM-P Promos,3rd,
222,25,Pikachu,Zeraora and Friends,SM-P Promos,-,Jumbo
234,25,Pikachu,Koko,Koko Illustration Contest,Parent-Child,Jumbo
235,25,Pikachu,Koko,Koko Illustration Contest,Twitter,Jumbo
244,25,Pikachu,No.1 Trainer,World Championship Promo,-,full art print in SV layout
246,25,Pikachu,No.3 Trainer,World Championship Promo,-,
247,25,Pikachu,No.4 Trainer,World Championship Promo,-,
255,25,Pikachu,Magikarp,M-P Promos,40,this card was only released in Korean
269,25,Pikachu,Chespin,Art Academy Promo,Gabi,
304,25,Pikachu,Snivy,MEP Promos,49,
322,25,Pikachu,Grookey,MEP Promos,52,Decorative Curry
327,25,Pikachu,Pokémon Pal City,Chūbu Battle City Promo,-,Pikachu Dome
328,25,Pikachu,Pokémon Pal City,Chūgoku Battle City Promo,-,
332,25,Pikachu,Pokémon Pal City,Tōhoku Battle City Promo,-,
347,26,Alolan Raichu,Salvatore,Temporal Forces,159,pin
