psa_set_name,psa_years,psa_count,tcg_group_id,tcg_group_name,tcg_abbreviation,tcg_published_year,confidence,alt_2_id,alt_2_name,alt_2_score,alt_3_id,alt_3_name,alt_3_score,notes
Base Set,1999,22,604,Base Set,BS,1999,medium,1663,Base Set (Shadowless),3.00,605,Base Set 2,2.75,
Prismatic Evolutions,2025,13,23821,SV: Prismatic Evolutions,PRE,2025,high,24073,SV09: Journey Together,1.50,24163,McDonald's Promos 2024,1.50,
Scarlet & Violet 151,2023,9,23237,SV: Scarlet & Violet 151,MEW,2023,medium,22872,SV: Scarlet & Violet Promo Cards,4.00,22873,SV01: Scarlet & Violet Base Set,3.90,
Jungle,1999,8,635,Jungle,JU,1999,high,23722,Pokemon Jungle,2.00,604,Base Set,1.50,
Fossil,1999,8,630,Fossil,FO,1999,high,604,Base Set,1.50,635,Jungle,1.50,
Neo Destiny,2002,7,1444,Neo Destiny,N4,2002,high,1389,Neo Revelation,1.58,1434,Neo Discovery,1.58,
Evolving Skies,2021,6,2848,SWSH07: Evolving Skies,SWSH07,2021,high,2754,Shining Fates,1.50,2765,SWSH05: Battle Styles,1.50,
Team Rocket,2000,6,1373,Team Rocket,TR,2000,high,1428,Team Rocket Returns,2.67,24310,SV10: The Glory of Team Rocket,2.00,
Skyridge,2003,6,1372,Skyridge,SK,2003,high,1376,Dragon,1.50,1392,Sandstorm,1.50,
Neo Genesis,2000,5,1396,Neo Genesis,N1,2000,high,24017,Neo Premium File 2,2.25,24018,Neo Premium File 3,2.25,
SWSH Black Star Promo,2020|2022,4,2585,SWSH01: Sword & Shield Base Set,SWSH01,2020,medium,2626,SWSH02: Rebel Clash,3.50,2675,SWSH03: Darkness Ablaze,3.50,
Aquapolis,2003,4,1397,Aquapolis,AQ,2003,high,1372,Skyridge,1.50,1376,Dragon,1.50,
EX Power Keepers,2007,4,1383,Power Keepers,PK,2007,high,1375,Expedition,3.00,609,DP Training Kit 1 Blue,1.50,
Brilliant Stars,2022,4,2948,SWSH09: Brilliant Stars,SWSH09,2022,medium,3020,SWSH09: Brilliant Stars Trainer Gallery,3.90,3040,SWSH10: Astral Radiance,1.50,
Obsidian Flames,2023,3,23228,SV03: Obsidian Flames,OBF,2023,high,17688,SWSH: Crown Zenith,1.50,17689,SWSH: Crown Zenith: Galarian Gallery,1.50,
