group_id,name,abbreviation,published_year,published_on,is_supplemental
24688,ME05: Pitch Black,ME05,2026,2026-07-17,false
24655,ME04: Chaos Rising,CRI,2026,2026-05-22,false
1414,POP Series 7,POP,2026,2026-05-07,false
1422,POP Series 1,POP,2026,2026-05-07,false
1423,Nintendo Promos,PR,2026,2026-05-07,false
1432,POP Series 6,POP,2026,2026-05-07,false
1439,POP Series 5,POP,2026,2026-05-07,false
1442,POP Series 3,POP,2026,2026-05-07,false
1446,POP Series 9,POP,2026,2026-05-07,false
1447,POP Series 2,POP,2026,2026-05-07,false
1450,POP Series 8,POP,2026,2026-05-07,false
1452,POP Series 4,POP,2026,2026-05-07,false
1542,EX Trainer Kit 2: Plusle & Minun,PR,2026,2026-05-07,false
1543,EX Trainer Kit 1: Latias & Latios,PR,2026,2026-05-07,false
1938,Alternate Art Promos,PR,2026,2026-05-07,true
2175,Burger King Promos,BKP,2026,2026-05-07,true
2205,Pikachu World Collection Promos,PWCP,2026,2026-05-07,true
2289,Blister Exclusives,BLE,2026,2026-05-07,true
2332,Professor Program Promos,PPP,2026,2026-05-07,true
2374,Miscellaneous Cards & Products,MCAP,2026,2026-05-07,true
2776,First Partner Pack,FPP,2026,2026-05-07,true
24172,Unnumbered Promotional cards,,2026,2026-05-07,false
24194,CoroCoro Promotional Cards,,2026,2026-05-07,false
24195,How I Became a Pokemon Card,,2026,2026-05-07,false
24196,Elementary School Competition,,2026,2026-05-07,false
24197,64 Mario Stadium Best Photo Contest,,2026,2026-05-07,false
24198,Pokemon Card Information Promotional cards,,2026,2026-05-07,false
24199,Battle Road,,2026,2026-05-07,false
24200,World Hobby Fair,,2026,2026-05-07,false
24201,Champion Road,,2026,2026-05-07,false
24202,Gym Challenge,,2026,2026-05-07,false
24203,Pokemon Card Design Contest,,2026,2026-05-07,false
24204,Pokemon Card Fan Club,,2026,2026-05-07,false
24205,Unnumbered World Championships,,2026,2026-05-07,false
24206,Vending Machine cards Series 1 (Blue),,2026,2026-05-07,false
24207,Vending Machine cards Series 2 (Red),,2026,2026-05-07,false
24208,Vending Machine cards Series 3 (Green),,2026,2026-05-07,false
24489,Limited Collection Master Battle Set,,2026,2026-05-07,false
24584,First Partner Collection 2026,,2026,2026-03-30,false
24587,ME03: Perfect Order,POR,2026,2026-03-27,false
24653,M4: Ninja Spinner,m4,2026,2026-03-13,false
24541,ME: Ascended Heroes,ASC,2026,2026-01-30,false
24600,M3: Nihil Zero,M3,2026,2026-01-23,false
24529,Player Placement Trainer Promos,,2026,2026-01-02,false
24567,Start Deck 100 Battle Collection,,2025,2025-12-19,false
24607,MP1: Start Deck 100 Battle Collection CoroCiao Version,MP1,2025,2025-12-19,false
24568,Japanese CD Promo,,2025,2025-12-01,false
24499,M2a: High Class Pack: MEGA Dream ex,M2a,2025,2025-11-28,false
24448,ME02: Phantasmal Flames,PFL,2025,2025-11-14,false
24380,ME01: Mega Evolution,MEG,2025,2025-09-26,false
24451,ME: Mega Evolution Promo,MEP,2025,2025-09-26,false
24459,M2: Inferno X,M2,2025,2025-09-26,false
24461,MEE: Mega Evolution Energies,MEE,2025,2025-09-26,false
24444,MBG: MEGA Starter Set Mega Gengar ex,MBG,2025,2025-09-12,false
24445,MBD: MEGA Starter Set Mega Diancie ex,MBD,2025,2025-09-05,false
24423,M-P Promotional Cards,M-P,2025,2025-08-08,false
24399,m1L: Mega Brave,m1L,2025,2025-08-01,false
24400,m1S: Mega Symphonia,m1S,2025,2025-08-01,false
24420,Scarlet & Violet Energies,,2025,2025-08-01,false
24325,SV: Black Bolt,BLK,2025,2025-07-18,false
24326,SV: White Flare,WHT,2025,2025-07-18,false
24349,SV11B: Black Bolt,SV11B,2025,2025-06-06,false
24350,SV11W: White Flare,SV11W,2025,2025-06-06,false
24269,SV10: Destined Rivals,DRI,2025,2025-05-30,false
24310,SV10: The Glory of Team Rocket,SV10,2025,2025-04-18,false
24073,SV09: Journey Together,JTG,2025,2025-03-28,false
24260,SV9a: Heat Wave Arena,SV9a,2025,2025-03-14,false
24230,SV: ex Starter Set Steven's Beldum & Metagross ex,SVOD,2025,2025-02-21,false
24231,SV: ex Starter Set Marnie's Morpeko & Grimmsnarl ex,SVOM,2025,2025-02-21,false
24173,SV9: Battle Partners,SV9,2025,2025-01-24,false
24174,SVN: Battle Partners Deck Build Box,SVN,2025,2025-01-24,false
24163,McDonald's Promos 2024,M24,2025,2025-01-21,false
23821,SV: Prismatic Evolutions,PRE,2025,2025-01-17,false
23909,SV8a: Terastal Fest ex,SV8a,2024,2024-12-06,false
24324,SVM: Generations Start Decks,,2024,2024-11-22,false
23651,SV08: Surging Sparks,SSP,2024,2024-11-08,false
23777,SV8: Super Electric Breaker,SV8,2024,2024-10-18,false
23779,SV-P Promotional Cards,SV-P,2024,2024-10-18,false
23537,SV07: Stellar Crown,SCR,2024,2024-09-13,false
23604,SV7a: Paradise Dragona,SV7a,2024,2024-09-13,false
23561,Trick or Trade BOOster Bundle 2024,TTBB24,2024,2024-08-30,false
23793,SV: Ceruledge ex Stellar Tera Type Starter Set,svL,2024,2024-08-30,false
23798,SV: Sylveon ex Stellar Tera Type Starter Set,svLN,2024,2024-08-30,false
23529,SV: Shrouded Fable,SFA,2024,2024-08-02,false
24425,Special Box Collections,SBC,2024,2024-08-01,false
23615,SV7: Stellar Miracle,SV7,2024,2024-07-19,false
23794,SV: Stellar Miracle Deck Build Box,svK,2024,2024-07-19,false
23520,Battle Academy 2024,BA24,2024,2024-06-21,false
23603,SV6a: Night Wanderer,SV6a,2024,2024-06-07,false
23473,SV06: Twilight Masquerade,TWM,2024,2024-05-24,false
23795,SV: Chien-Pao ex Battle Master Deck,svJP,2024,2024-05-17,false
23796,SV: Terastal Charizard ex Battle Master Deck,svJL,2024,2024-05-17,false
23614,SV6: Transformation Mask,SV6,2024,2024-04-26,false
23381,SV05: Temporal Forces,TEF,2024,2024-03-22,false
23602,SV5a: Crimson Haze,SV5a,2024,2024-03-22,false
23822,Battle Academy,svI,2024,2024-03-08,false
23797,SV: ex Starter Deck & Build Set,svH,2024,2024-02-02,false
23353,SV: Paldean Fates,PAF,2024,2024-01-26,false
23612,SV5K: Wild Force,SV5K,2024,2024-01-26,false
23613,SV5M: Cyber Judge,SV5M,2024,2024-01-26,false
23810,SV: Ancient Koraidon ex Starter Deck & Build Set,svHK,2024,2024-01-26,false
23811,SV: Future Miraidon ex Starter Deck & Build Set,svHM,2024,2024-01-26,false
23601,SV4a: Shiny Treasure ex,SV4a,2023,2023-12-01,false
23323,Trading Card Game Classic,CL,2023,2023-11-17,false
23812,"SV: Venusaur, Charizard & Blastoise Special Deck Set",svG,2023,2023-11-10,false
23286,SV04: Paradox Rift,PAR,2023,2023-11-03,false
23610,SV4K: Ancient Roar,SV4K,2023,2023-10-27,false
23611,SV4M: Future Flash,SV4M,2023,2023-10-27,false
23330,My First Battle,,2023,2023-09-29,false
23237,SV: Scarlet & Violet 151,MEW,2023,2023-09-22,false
23600,SV3a: Raging Surf,SV3a,2023,2023-09-22,false
23799,SV: Mewtwo ex Terastal Starter Set,svEM,2023,2023-09-22,false
23800,SV: Skeledirge ex Terastal Starter Set,svEL,2023,2023-09-22,false
23306,McDonald's Promos 2023,M23,2023,2023-09-12,false
23266,Trick or Trade BOOster Bundle 2023,TTBB23,2023,2023-09-01,false
23228,SV03: Obsidian Flames,OBF,2023,2023-08-11,false
23609,SV3: Ruler of the Black Flame,SV3,2023,2023-07-28,false
23801,SV: Ruler of the Black Flame Deck Build Box,svF,2023,2023-07-28,false
23802,WCS23: 2023 World Championships Yokohama Deck: Pikachu,WCS23,2023,2023-07-28,false
23803,SV: ex Start Decks,svD,2023,2023-07-07,false
23599,SV2a: Pokemon Card 151,SV2a,2023,2023-06-16,false
23120,SV02: Paldea Evolved,PAL,2023,2023-06-09,false
23804,SV: ex Special Set,svP1,2023,2023-05-19,false
23607,SV2P: Snow Hazard,SV2P,2023,2023-04-14,false
23608,SV2D: Clay Burst,SV2D,2023,2023-04-14,false
22872,SV: Scarlet & Violet Promo Cards,SVP,2023,2023-03-31,false
22873,SV01: Scarlet & Violet Base Set,SVI,2023,2023-03-31,false
24382,SVE: Scarlet & Violet Energies,SVE,2023,2023-03-31,false
23805,SV: ex Starter Set Pikachu ex & Pawmot,svC,2023,2023-03-24,false
23598,SV1a: Triplet Beat,SV1a,2023,2023-03-10,false
24468,Triple Starter Deck Set VMAX,,2023,2023-03-01,false
23817,Pokemon TCG Classic: Blastoise,CLV,2023,2023-02-27,false
23818,Pokemon TCG Classic: Charizard,CLL,2023,2023-02-27,false
23819,Pokemon TCG Classic: Venusaur,CLF,2023,2023-02-27,false
17688,SWSH: Crown Zenith,CRZ,2023,2023-01-20,false
17689,SWSH: Crown Zenith: Galarian Gallery,CRZ:GG,2023,2023-01-20,false
23605,SV1S: Scarlet ex,SV1S,2023,2023-01-20,false
23606,SV1V: Violet ex,SV1V,2023,2023-01-20,false
23806,SV: Premium Trainer Box ex,svB,2023,2023-01-20,false
23807,SV: ex Starter Set Sprigatito & Lucario ex,svAM,2023,2023-01-20,false
23808,SV: ex Starter Set Quaxly & Mimikyu ex,svAM,2023,2023-01-20,false
23809,SV: ex Starter Set Fuecoco & Ampharos ex,svAW,2023,2023-01-20,false
23645,S12a: VSTAR Universe,S12a,2022,2022-12-02,false
22880,Prize Pack Series Cards,,2022,2022-11-30,false
3170,SWSH12: Silver Tempest,SWSH12,2022,2022-11-11,false
17674,SWSH12: Silver Tempest Trainer Gallery,SWSH12: TG,2022,2022-11-11,false
23830,s0: Charizard VSTAR vs Rayquaza VMAX Special Deck Set,s0,2022,2022-11-04,false
23632,S12: Paradigm Trigger,S12,2022,2022-10-21,false
3118,SWSH11: Lost Origin,SWSH11,2022,2022-09-09,false
3172,SWSH11: Lost Origin Trainer Gallery,SWSH11: TG,2022,2022-09-09,false
23642,S11a: Incandescent Arcana,S11a,2022,2022-09-02,false
3179,Trick or Trade BOOster Bundle,TTBB,2022,2022-09-01,false
23831,sp6: VSTAR Special Set,sp6,2022,2022-08-05,false
3150,McDonald's Promos 2022,M22,2022,2022-08-03,false
23631,S11: Lost Abyss,S11,2022,2022-07-15,false
23832,sPD: Deoxys VSTAR & VMAX High-Class Deck,sPD,2022,2022-07-15,false
23833,sPZ: Zeraora VSTAR & VMAX High-Class Deck,sPZ,2022,2022-07-15,false
3064,Pokemon GO,PGO,2022,2022-07-01,false
23641,S10b: Pokemon GO,S10b,2022,2022-06-17,false
3040,SWSH10: Astral Radiance,SWSH10,2022,2022-05-27,false
3068,SWSH10: Astral Radiance Trainer Gallery,SWSH10:TG,2022,2022-05-27,false
23640,S10a: Dark Phantasma,S10a,2022,2022-05-13,false
23629,S10D: Time Gazer,S10D,2022,2022-04-08,false
23630,S10P: Space Juggler,S10P,2022,2022-04-08,false
3051,Battle Academy 2022,BA22,2022,2022-04-01,false
23835,sN: Start Deck 100 CoroCoro Comic Version,sN,2022,2022-03-01,false
2948,SWSH09: Brilliant Stars,SWSH09,2022,2022-02-25,false
3020,SWSH09: Brilliant Stars Trainer Gallery,SWSH09:TG,2022,2022-02-25,false
23639,S9a: Battle Region,S9a,2022,2022-02-25,false
23836,sLL: Lucario Starter Set VSTAR,sLL,2022,2022-02-25,false
23866,sLD: Darkrai Starter Set VSTAR,sLD,2022,2022-02-25,false
23628,S9: Star Birth,S9,2022,2022-01-14,false
23837,sK: VSTAR Premium Trainer Box,sK,2022,2022-01-14,false
23859,SI: Start Deck 100,SI,2021,2021-12-17,false
23644,S8b: VMAX Climax,S8b,2021,2021-12-03,false
23838,s8a-G: 25th Anniversary Golden Box,s8a-G,2021,2021-12-01,false
